time,v_target
0.0,-29.178109950434948
2.5e-09,-24.80126459393713
5e-09,-20.389049911361035
7.500000000000001e-09,-15.950699845426456
1e-08,-11.495634181906723
1.25e-08,-7.03342936416184
1.5000000000000002e-08,-2.5737885999169476
1.75e-08,1.8734886295361006
2e-08,6.298537545081791
2.25e-08,10.691459415818596
2.5e-08,15.042353159169323
2.75e-08,19.341347077720254
3.0000000000000004e-08,23.578630614780565
3.25e-08,27.744486010446
3.5e-08,31.82931974020427
3.75e-08,35.82369361883005
4e-08,39.718355453486055
4.2500000000000003e-08,43.50426913156436
4.5e-08,47.1726440308676
4.75e-08,50.71496364223018
5e-08,54.123013297609795
5.25e-08,57.38890690002433
5.5e-08,60.505112555458574
5.75e-08,63.46447701100195
6.000000000000001e-08,66.26024880798852
6.25e-08,68.88610006377536
6.5e-08,71.33614680099615
6.75e-08,73.60496774864208
7e-08,75.68762154513388
7.250000000000001e-08,77.57966227962915
7.5e-08,79.27715331413822
7.75e-08,80.77667933557493
8e-08,82.07535659361565
8.25e-08,83.17084128716144
8.500000000000001e-08,84.06133606926052
8.75e-08,84.7455946475284
9e-08,85.22292446436967
9.25e-08,85.49318744863312
9.5e-08,85.55679883768926
9.75e-08,85.41472407627909
1e-07,85.06847380581605
1.025e-07,84.52009696510129
1.05e-07,83.77217203060528
1.075e-07,82.82779643155118
1.1e-07,81.69057418197762
1.1250000000000001e-07,80.36460177873266
1.15e-07,78.85445242093415
1.175e-07,77.16515861279305
1.2000000000000002e-07,75.3021932178161
1.225e-07,73.27144903825517
1.25e-07,71.0792169992304
1.275e-07,68.73216302220388
1.3e-07,66.23730367739444
1.325e-07,63.60198070928861
1.35e-07,60.83383453359626
1.375e-07,57.94077680780719
1.4e-07,54.9309621809122
1.425e-07,51.812759330845154
1.4500000000000001e-07,48.59472140077029
1.475e-07,45.2855559474707
1.5e-07,41.89409451678293
1.525e-07,38.42926196226187
1.55e-07,34.90004562404153
1.575e-07,31.315464485186894
1.6e-07,27.684538422696875
1.625e-07,24.016257669730194
1.65e-07,20.319552604578774
1.675e-07,16.603263980418603
1.7000000000000001e-07,12.876113707924826
