time,v_target
1.5000000000000002e-07,33.08842733995748
1.52e-07,64.88070820020744
1.54e-07,97.39611589289545
1.5600000000000002e-07,128.89922947958243
1.58e-07,157.04816196302238
1.6e-07,179.24826806792595
1.6200000000000002e-07,193.13099108597052
1.64e-07,197.04665571440816
1.66e-07,190.45043070956433
1.6800000000000002e-07,174.08160637977127
1.7000000000000001e-07,149.88307238594413
1.72e-07,120.6691168086466
1.7400000000000002e-07,89.61026019599524
1.7600000000000001e-07,59.648649986155
1.78e-07,32.97526454152649
1.8000000000000002e-07,10.686212654965525
1.8200000000000002e-07,-7.306942380273995
1.84e-07,-22.09827667895835
1.8600000000000002e-07,-35.38898353335979
1.8800000000000002e-07,-48.96926121627573
1.9e-07,-64.20678716589347
1.9200000000000003e-07,-81.66302749361434
1.9400000000000002e-07,-100.92425487344704
1.96e-07,-120.67929029959895
1.98e-07,-139.01463682352855
2.0000000000000002e-07,-153.84528049743201
2.02e-07,-163.36897215660863
2.04e-07,-166.43051444597842
2.0600000000000002e-07,-162.7101803140388
2.08e-07,-152.69922253302215
2.1e-07,-137.48249075221136
2.1200000000000002e-07,-118.39848506350124
2.14e-07,-96.67768780343552
2.16e-07,-73.16294815522262
2.1800000000000002e-07,-48.19053086797272
2.2e-07,-21.664035959108755
2.22e-07,6.7018228191727465
2.2400000000000002e-07,37.03986883630219
2.26e-07,68.99392008053272
2.28e-07,101.49206365712519
2.3000000000000002e-07,132.70881904572084
2.32e-07,160.24712628352742
2.34e-07,181.51302746579864
2.3600000000000002e-07,194.2029346539851
2.3800000000000001e-07,196.78941802393845
2.4000000000000003e-07,188.88572514990608
2.42e-07,171.39385506373497
2.44e-07,146.39032955635736
2.46e-07,116.76583571249115
2.48e-07,85.69429850185816
2.5000000000000004e-07,56.04882677674905
2.5200000000000003e-07,29.895774514950272
2.54e-07,8.18024832811328
2.56e-07,-9.328949274535656
2.58e-07,-23.828600664437367
2.6e-07,-37.06101572846298
2.62e-07,-50.7895584144794
2.6400000000000003e-07,-66.29707370469677
2.66e-07,-84.02561308146825
2.68e-07,-103.43825232164646
2.7e-07,-123.12727141421439
2.72e-07,-141.13191348341434
2.74e-07,-155.37870216645692
2.7600000000000004e-07,-164.1302812274911
2.7800000000000003e-07,-166.3312944230134
2.8e-07,-161.77068078032528
2.82e-07,-151.0304349748055
2.84e-07,-135.24791062417395
2.86e-07,-115.7671870984862
2.8800000000000004e-07,-93.78232679277652
2.9000000000000003e-07,-70.07458683614112
2.92e-07,-44.91727133129022
2.94e-07,-18.173615072935146
2.96e-07,10.44219912916321
2.98e-07,41.018289450323735
3.0000000000000004e-07,73.11692036351481
3.0200000000000003e-07,105.56818411408479
3.04e-07,136.45950538125135
3.06e-07,163.34478875191118
3.08e-07,183.63875913078599
3.1e-07,195.11077691515436
3.1200000000000004e-07,196.36165269713177
3.1400000000000003e-07,187.16515810056794
3.16e-07,168.58414120423586
3.18e-07,142.82285515598414
3.2e-07,112.83968373024157
3.22e-07,81.80238036802712
3.2400000000000004e-07,52.506720614818235
3.2600000000000003e-07,26.88928142721735
3.28e-07,5.743272841680112
3.3e-07,-11.301796025141694
3.32e-07,-25.538512189068385
3.34e-07,-38.74169004061715
3.3600000000000004e-07,-52.6396278104026
3.3800000000000004e-07,-68.42443142062302
3.4000000000000003e-07,-86.41648162960324
3.42e-07,-105.95744836343411
3.44e-07,-125.54830217326759
3.46e-07,-143.18826650201663
3.4800000000000005e-07,-156.82277633148567
3.5000000000000004e-07,-164.78504330314365
3.5200000000000003e-07,-166.12220417166972
3.54e-07,-160.73100233717958
3.56e-07,-149.28024650592258
3.58e-07,-132.95404421062148
3.6000000000000005e-07,-113.09617465955084
3.6200000000000004e-07,-90.85995137284874
3.6400000000000003e-07,-66.9634737875886
3.66e-07,-41.61870110619648
3.68e-07,-14.652808357645142
3.7e-07,14.214830848688797
3.7200000000000005e-07,45.022208364489074
