time,v_target
0.0,-52.36316178417393
2.5e-09,-48.635158580944
5e-09,-44.87778705393483
7.500000000000001e-09,-41.092641596194724
1e-08,-37.28158156172147
1.25e-08,-33.44676451083905
1.5000000000000002e-08,-29.590677053991108
1.75e-08,-25.71616289688142
2e-08,-21.826447713670678
2.25e-08,-17.925160502449216
2.5e-08,-14.016351108206441
2.75e-08,-10.104503632736087
3.0000000000000004e-08,-6.194545488047932
3.25e-08,-2.291851889570715
3.5e-08,1.5977543726291792
3.75e-08,5.4680080025983
4e-08,9.31221117995749
4.2500000000000003e-08,13.123248480525817
4.5e-08,16.893606715645763
4.75e-08,20.615399622636776
5e-08,24.280397291926395
5.25e-08,27.880060170193183
5.5e-08,31.405577433728673
5.75e-08,34.84790948260341
6.000000000000001e-08,38.197834264510035
6.25e-08,41.445997097742634
6.5e-08,44.5829636260263
6.75e-08,47.5992755041799
7e-08,50.485508383201406
7.250000000000001e-08,53.23233173659902
7.5e-08,55.830570046914204
7.75e-08,58.27126485262309
8e-08,60.54573714114818
8.25e-08,62.6456495637201
8.500000000000001e-08,64.56306794240983
8.75e-08,66.29052153888105
9e-08,67.82106155832176
9.25e-08,69.1483173705966
9.5e-08,70.26654994386278
9.75e-08,71.17070200362582
1e-07,71.8564444523414
1.025e-07,72.32021861102696
1.05e-07,72.55927387471965
1.075e-07,72.57170040776532
1.1e-07,72.3564565425597
1.1250000000000001e-07,71.91339058618472
1.15e-07,71.24325678304209
1.175e-07,70.34772522772295
1.2000000000000002e-07,69.22938557057347
1.225e-07,67.89174440831347
1.25e-07,66.339216303216
1.275e-07,64.57710842632054
1.3e-07,62.61159887248677
1.325e-07,60.449708747350535
1.35e-07,58.0992681779657
1.375e-07,55.56887644966029
1.4e-07,52.86785652096076
1.425e-07,50.0062042159152
1.4500000000000001e-07,46.994532438362825
1.475e-07,43.8440107952541
1.5e-07,40.566301055653454
1.525e-07,37.17348890820396
1.55e-07,33.67801251228043
1.575e-07,30.092588366518864
1.6e-07,26.430135042627118
1.625e-07,22.70369535213741
1.65e-07,18.926357528876103
1.675e-07,15.11117602025695
1.7000000000000001e-07,11.27109248595211
1.7250000000000002e-07,7.418857603001388
1.75e-07,3.5669542719719853
1.775e-07,-0.272477190601625
1.8e-07,-4.087711302506614
1.825e-07,-7.867506556869497
1.85e-07,-11.60117092549114
1.875e-07,-15.278623224078633
1.9e-07,-18.890449871124172
1.925e-07,-22.42795660825929
1.95e-07,-25.883214789600224
